,RBO k = 5,Jaccard k = 5
10,1,1
20,0.97232,0.858181818
30,0.877296769,0.718181818
40,0.753221,0.55
50,0.452410104,0.311111111
60,0.2316451,0.1231
70,0,0
80,0,0
90,0,0
